,geodi10,All Other Thefts,Simple Assault,Theft From Motor Vehicle,Quarter
368,37119004303,12.0,11.0,10.0,1.0
369,37119004303,8.0,13.0,15.0,2.0
370,37119004303,15.0,6.0,29.0,3.0
371,37119004303,8.0,8.0,24.0,4.0
372,37119004304,5.0,8.0,6.0,1.0
373,37119004304,11.0,18.0,6.0,2.0
374,37119004304,10.0,5.0,10.0,3.0
375,37119004304,9.0,8.0,7.0,4.0
376,37119004305,15.0,15.0,14.0,1.0
377,37119004305,15.0,24.0,29.0,2.0
378,37119004305,14.0,17.0,34.0,3.0
379,37119004305,16.0,16.0,27.0,4.0
380,37119004400,18.0,13.0,21.0,1.0
381,37119004400,17.0,21.0,41.0,2.0
382,37119004400,17.0,13.0,31.0,3.0
383,37119004400,18.0,12.0,21.0,4.0
384,37119004500,10.0,16.0,5.0,1.0
385,37119004500,6.0,20.0,9.0,2.0
386,37119004500,8.0,20.0,4.0,3.0
387,37119004500,8.0,20.0,8.0,4.0
388,37119004600,22.0,25.0,8.0,1.0
389,37119004600,20.0,29.0,5.0,2.0
390,37119004600,19.0,27.0,0.0,3.0
391,37119004600,31.0,27.0,4.0,4.0
392,37119004700,7.0,8.0,7.0,1.0
393,37119004700,6.0,5.0,7.0,2.0
394,37119004700,7.0,8.0,2.0,3.0
395,37119004700,2.0,2.0,3.0,4.0
396,37119004800,14.0,52.0,17.0,1.0
397,37119004800,22.0,36.0,11.0,2.0
398,37119004800,17.0,29.0,4.0,3.0
399,37119004800,14.0,27.0,7.0,4.0
400,37119004900,10.0,7.0,21.0,1.0
401,37119004900,7.0,16.0,13.0,2.0
402,37119004900,6.0,6.0,12.0,3.0
403,37119004900,3.0,3.0,16.0,4.0
404,37119005000,5.0,3.0,7.0,1.0
405,37119005000,5.0,8.0,17.0,2.0
406,37119005000,6.0,8.0,10.0,3.0
407,37119005000,7.0,7.0,6.0,4.0
408,37119005100,11.0,32.0,23.0,1.0
409,37119005100,19.0,29.0,9.0,2.0
410,37119005100,15.0,20.0,13.0,3.0
411,37119005100,10.0,24.0,21.0,4.0
412,37119005200,28.0,23.0,12.0,1.0
413,37119005200,19.0,17.0,10.0,2.0
414,37119005200,25.0,33.0,10.0,3.0
415,37119005200,16.0,23.0,6.0,4.0
416,37119005301,30.0,23.0,20.0,1.0
417,37119005301,32.0,22.0,13.0,2.0
418,37119005301,15.0,20.0,20.0,3.0
419,37119005301,28.0,18.0,25.0,4.0
420,37119005305,15.0,21.0,5.0,1.0
421,37119005305,13.0,23.0,8.0,2.0
422,37119005305,18.0,26.0,16.0,3.0
423,37119005305,11.0,28.0,11.0,4.0
424,37119005306,14.0,24.0,14.0,1.0
425,37119005306,25.0,28.0,17.0,2.0
426,37119005306,20.0,24.0,15.0,3.0
427,37119005306,21.0,36.0,24.0,4.0
428,37119005307,5.0,17.0,17.0,1.0
429,37119005307,6.0,18.0,20.0,2.0
430,37119005307,13.0,18.0,15.0,3.0
431,37119005307,11.0,15.0,14.0,4.0
432,37119005308,4.0,10.0,10.0,1.0
433,37119005308,6.0,16.0,16.0,2.0
434,37119005308,5.0,10.0,14.0,3.0
435,37119005308,6.0,9.0,7.0,4.0
436,37119005401,16.0,27.0,17.0,1.0
437,37119005401,17.0,17.0,20.0,2.0
438,37119005401,16.0,32.0,29.0,3.0
439,37119005401,24.0,18.0,27.0,4.0
440,37119005403,14.0,10.0,8.0,1.0
441,37119005403,15.0,16.0,10.0,2.0
442,37119005403,13.0,12.0,17.0,3.0
443,37119005403,11.0,17.0,16.0,4.0
444,37119005404,9.0,9.0,13.0,1.0
445,37119005404,13.0,31.0,16.0,2.0
446,37119005404,9.0,12.0,11.0,3.0
447,37119005404,9.0,14.0,6.0,4.0
448,37119005508,5.0,5.0,17.0,1.0
449,37119005508,6.0,5.0,27.0,2.0
450,37119005508,8.0,3.0,42.0,3.0
451,37119005508,6.0,3.0,9.0,4.0
452,37119005509,5.0,11.0,2.0,1.0
